ID;id_inspection;id_question;id_answer;SCORE
107;8;13;48;32
108;8;14;50;32
109;8;15;54;24
110;8;16;58;24
111;8;17;60;20
112;8;18;63;32
113;8;19;65;32
114;8;20;67;24
115;8;21;69;24
116;8;22;71;16
117;8;23;73;16
118;8;24;75;28
119;8;25;77;28
120;8;26;79;28
121;9;12;46;40
122;9;13;48;32
123;9;14;50;32
124;9;15;54;24
125;9;16;58;24
126;9;17;60;20
127;9;18;62;16
128;9;19;64;8
129;9;20;67;24
130;9;21;69;24
131;9;22;71;16
132;9;23;73;16
133;9;24;75;28
134;9;25;77;28
135;9;26;79;28
136;10;12;46;40
137;10;13;48;32
138;10;14;50;32
139;10;15;54;24
140;10;16;58;24
141;10;17;60;20
142;10;18;63;32
143;10;19;65;32
144;10;20;67;24
145;10;21;69;24
146;10;22;71;16
147;10;23;73;16
148;10;24;75;28
149;10;25;77;28
150;10;26;79;28
151;11;12;46;40
152;11;13;48;32
153;11;14;50;32
154;11;15;54;24
155;11;16;58;24
156;11;17;60;20
157;11;18;62;16
158;11;19;65;32
159;11;20;67;24
160;11;21;69;24
161;11;22;70;4
162;11;23;73;16
163;11;24;75;28
164;11;25;77;28
165;11;26;79;28
166;12;12;46;40
167;12;13;48;32
168;12;14;50;32
169;12;15;54;24
170;12;16;58;24
171;12;17;60;20
172;12;18;63;32
173;12;19;65;32
174;12;20;67;24
175;12;21;69;24
176;12;22;70;4
177;12;23;73;16
178;12;24;75;28
179;12;25;77;28
180;12;26;79;28
181;13;12;46;40
182;13;13;48;32
183;13;14;50;32
184;13;15;54;24
185;13;16;58;24
186;13;17;60;20
187;13;18;63;32
188;13;19;65;32
189;13;20;67;24
190;13;21;69;24
191;13;22;71;16
192;13;23;73;16
193;13;24;75;28
194;13;25;77;28
195;13;26;79;28
196;14;12;46;40
197;14;13;47;8
198;14;14;50;32
199;14;15;54;24
200;14;16;57;18
201;14;17;60;20
202;14;18;63;32
203;14;19;65;32
204;14;20;67;24
205;14;21;69;24
206;14;22;70;4
207;14;23;73;16
208;14;24;75;28
209;14;25;77;28
210;14;26;79;28
211;15;12;46;40
212;15;13;48;32
213;15;14;50;32
214;15;15;54;24
215;15;16;58;24
216;15;17;60;20
217;15;18;63;32
218;15;19;65;32
219;15;20;67;24
220;15;21;69;24
221;15;22;71;16
222;15;23;73;16
223;15;24;75;28
224;15;25;77;28
225;15;26;79;28
226;16;12;46;40
227;16;13;48;32
228;16;14;50;32
229;16;15;54;24
230;16;16;58;24
231;16;17;60;20
232;16;18;63;32
233;16;19;65;32
234;16;20;67;24
235;16;21;69;24
236;16;22;71;16
237;16;23;73;16
238;16;24;75;28
239;16;25;77;28
240;16;26;79;28
241;17;12;46;40
242;17;13;48;32
243;17;14;50;32
244;17;15;54;24
245;17;16;58;24
246;17;17;60;20
247;17;18;62;16
248;17;19;65;32
249;17;20;67;24
250;17;21;69;24
251;17;22;70;4
252;17;23;73;16
253;17;24;75;28
254;17;25;77;28
255;17;26;79;28
256;18;12;46;40
257;18;13;48;32
258;18;14;50;32
259;18;15;54;24
260;18;16;58;24
261;18;17;60;20
262;18;18;62;16
263;18;19;65;32
264;18;20;67;24
265;18;21;69;24
266;18;22;70;4
267;18;23;73;16
268;18;24;75;28
269;18;25;77;28
270;18;26;79;28
271;19;12;46;40
272;19;13;48;32
273;19;14;50;32
274;19;15;54;24
275;19;16;58;24
276;19;17;60;20
277;19;18;63;32
278;19;19;65;32
279;19;20;67;24
280;19;21;69;24
281;19;22;71;16
282;19;23;73;16
283;19;24;75;28
284;19;25;77;28
285;19;26;79;28
286;20;12;46;40
287;20;13;48;32
288;20;14;50;32
289;20;15;54;24
290;20;16;58;24
291;20;17;60;20
292;20;18;63;32
293;20;19;65;32
294;20;20;67;24
295;20;21;69;24
296;20;22;71;16
297;20;23;73;16
298;20;24;75;28
299;20;25;77;28
300;20;26;79;28
301;21;12;46;40
302;21;13;48;32
303;21;14;50;32
304;21;15;54;24
305;21;16;58;24
306;21;17;60;20
307;21;18;63;32
308;21;19;65;32
309;21;20;67;24
310;21;21;69;24
311;21;22;71;16
312;21;23;73;16
313;21;24;75;28
314;21;25;77;28
315;21;26;79;28
316;22;12;46;40
317;22;13;47;8
318;22;14;50;32
319;22;15;51;6
320;22;16;58;24
321;22;17;60;20
322;22;18;61;8
323;22;19;65;32
324;22;20;67;24
325;22;21;69;24
326;22;22;71;16
327;22;23;73;16
328;22;24;75;28
329;22;25;77;28
330;22;26;79;28
331;23;12;46;40
332;23;13;48;32
333;23;14;50;32
334;23;15;51;6
335;23;16;58;24
336;23;17;60;20
337;23;18;63;32
338;23;19;65;32
339;23;20;67;24
340;23;21;69;24
341;23;22;70;4
342;23;23;73;16
343;23;24;75;28
344;23;25;77;28
345;23;26;79;28
346;24;12;46;40
347;24;13;48;32
348;24;14;50;32
349;24;15;51;6
350;24;16;58;24
351;24;17;60;20
352;24;18;63;32
353;24;19;65;32
354;24;20;67;24
355;24;21;69;24
356;24;22;71;16
357;24;23;73;16
358;24;24;75;28
359;24;25;77;28
360;24;26;79;28
361;25;12;46;40
362;25;13;48;32
363;25;14;50;32
364;25;15;54;24
365;25;16;58;24
366;25;17;60;20
367;25;18;61;8
368;25;19;65;32
369;25;20;67;24
370;25;21;69;24
371;25;22;71;16
372;25;23;73;16
373;25;24;75;28
374;25;25;77;28
375;25;26;79;28
376;26;12;46;40
377;26;13;48;32
378;26;14;50;32
379;26;15;54;24
380;26;16;58;24
381;26;17;60;20
382;26;18;62;16
383;26;19;65;32
384;26;20;67;24
385;26;21;69;24
386;26;22;70;4
387;26;23;73;16
388;26;24;75;28
389;26;25;77;28
390;26;26;79;28
391;27;12;46;40
392;27;13;48;32
393;27;14;50;32
394;27;15;52;12
395;27;16;58;24
396;27;17;60;20
397;27;18;61;8
398;27;19;64;8
399;27;20;67;24
400;27;21;69;24
401;27;22;71;16
402;27;23;73;16
403;27;24;75;28
404;27;25;77;28
405;27;26;79;28
406;28;12;46;40
407;28;13;48;32
408;28;14;50;32
409;28;15;54;24
410;28;16;58;24
411;28;17;60;20
412;28;18;62;16
413;28;19;65;32
414;28;20;67;24
415;28;21;69;24
416;28;22;70;4
417;28;23;73;16
418;28;24;75;28
419;28;25;77;28
420;28;26;79;28
421;29;12;46;40
422;29;13;48;32
423;29;14;50;32
424;29;15;54;24
425;29;16;58;24
426;29;17;60;20
427;29;18;63;32
428;29;19;65;32
429;29;20;67;24
430;29;21;69;24
431;29;22;70;4
432;29;23;73;16
433;29;24;75;28
434;29;25;77;28
435;29;26;79;28
436;30;12;46;40
437;30;13;48;32
438;30;14;50;32
439;30;15;54;24
440;30;16;58;24
441;30;17;60;20
442;30;18;62;16
443;30;19;65;32
444;30;20;67;24
445;30;21;69;24
446;30;22;70;4
447;30;23;73;16
448;30;24;75;28
449;30;25;77;28
450;30;26;79;28
451;31;12;46;40
452;31;13;48;32
453;31;14;50;32
454;31;15;54;24
455;31;16;58;24
456;31;17;60;20
457;31;18;62;16
458;31;19;65;32
459;31;20;67;24
460;31;21;69;24
461;31;22;70;4
462;31;23;73;16
463;31;24;75;28
464;31;25;77;28
465;31;26;79;28
466;32;12;46;40
467;32;13;48;32
468;32;14;50;32
469;32;15;54;24
470;32;16;58;24
471;32;17;60;20
472;32;18;63;32
473;32;19;65;32
474;32;20;67;24
475;32;21;69;24
476;32;22;71;16
477;32;23;73;16
478;32;24;75;28
479;32;25;77;28
480;32;26;79;28
481;33;12;46;40
482;33;13;48;32
483;33;14;50;32
484;33;15;54;24
485;33;16;58;24
486;33;17;60;20
487;33;18;61;8
488;33;19;65;32
489;33;20;67;24
490;33;21;69;24
491;33;22;71;16
492;33;23;73;16
493;33;24;75;28
494;33;25;77;28
495;33;26;79;28
496;34;12;46;40
497;34;13;48;32
498;34;14;49;8
499;34;15;54;24
500;34;16;58;24
501;34;17;60;20
502;34;18;63;32
503;34;19;65;32
504;34;20;67;24
505;34;21;69;24
506;34;22;71;16
507;34;23;73;16
508;34;24;75;28
509;34;25;77;28
510;34;26;79;28
511;35;12;46;40
512;35;13;48;32
513;35;14;50;32
514;35;15;54;24
515;35;16;58;24
516;35;17;60;20
517;35;18;63;32
518;35;19;65;32
519;35;20;67;24
520;35;21;69;24
521;35;22;71;16
522;35;23;73;16
523;35;24;75;28
524;35;25;77;28
525;35;26;79;28
526;36;12;46;40
527;36;13;48;32
528;36;14;50;32
529;36;15;54;24
530;36;16;58;24
531;36;17;60;20
532;36;18;62;16
533;36;19;65;32
534;36;20;67;24
535;36;21;69;24
536;36;22;70;4
537;36;23;73;16
538;36;24;75;28
539;36;25;77;28
540;36;26;79;28
541;37;12;46;40
542;37;13;48;32
543;37;14;50;32
544;37;15;54;24
545;37;16;58;24
546;37;17;60;20
547;37;18;63;32
548;37;19;65;32
549;37;20;67;24
550;37;21;69;24
551;37;22;71;16
552;37;23;73;16
553;37;24;75;28
554;37;25;77;28
555;37;26;79;28
556;38;12;46;40
557;38;13;48;32
558;38;14;50;32
559;38;15;54;24
560;38;16;58;24
561;38;17;60;20
562;38;18;63;32
563;38;19;65;32
564;38;20;67;24
565;38;21;69;24
566;38;22;71;16
567;38;23;73;16
568;38;24;75;28
569;38;25;77;28
570;38;26;79;28
571;39;12;46;40
572;39;13;48;32
573;39;14;50;32
574;39;15;54;24
575;39;16;58;24
576;39;17;60;20
577;39;18;63;32
578;39;19;65;32
579;39;20;67;24
580;39;21;69;24
581;39;22;71;16
582;39;23;73;16
583;39;24;75;28
584;39;25;77;28
585;39;26;79;28
586;40;12;46;40
587;40;13;48;32
588;40;14;50;32
589;40;15;54;24
590;40;16;58;24
591;40;17;60;20
592;40;18;63;32
593;40;19;65;32
594;40;20;67;24
595;40;21;69;24
596;40;22;71;16
597;40;23;73;16
598;40;24;75;28
599;40;25;77;28
600;40;26;79;28
601;41;12;46;40
602;41;13;48;32
603;41;14;50;32
604;41;15;54;24
605;41;16;58;24
606;41;17;60;20
607;41;18;63;32
608;41;19;65;32
609;41;20;67;24
610;41;21;69;24
611;41;22;70;4
612;41;23;73;16
613;41;24;75;28
614;41;25;77;28
615;41;26;79;28
616;42;12;46;40
617;42;13;47;8
618;42;14;50;32
619;42;15;54;24
620;42;16;58;24
621;42;17;60;20
622;42;18;63;32
623;42;19;65;32
624;42;20;67;24
625;42;21;69;24
626;42;22;70;4
627;42;23;73;16
628;42;24;75;28
629;42;25;77;28
630;42;26;79;28
631;43;12;46;40
632;43;13;48;32
633;43;14;50;32
634;43;15;54;24
635;43;16;58;24
636;43;17;60;20
637;43;18;62;16
638;43;19;65;32
639;43;20;67;24
640;43;21;69;24
641;43;22;70;4
642;43;23;73;16
643;43;24;75;28
644;43;25;77;28
645;43;26;79;28
646;44;12;46;40
647;44;13;48;32
648;44;14;50;32
649;44;15;54;24
650;44;16;58;24
651;44;17;60;20
652;44;18;62;16
653;44;19;65;32
654;44;20;67;24
655;44;21;69;24
656;44;22;70;4
657;44;23;73;16
658;44;24;75;28
659;44;25;77;28
660;44;26;79;28
661;45;12;46;40
662;45;13;48;32
663;45;14;50;32
664;45;15;54;24
665;45;16;58;24
666;45;17;60;20
667;45;18;63;32
668;45;19;65;32
669;45;20;67;24
670;45;21;69;24
671;45;22;70;4
672;45;23;73;16
673;45;24;75;28
674;45;25;77;28
675;45;26;79;28
676;46;12;46;40
677;46;13;48;32
678;46;14;50;32
679;46;15;54;24
680;46;16;58;24
681;46;17;60;20
682;46;18;63;32
683;46;19;65;32
684;46;20;67;24
685;46;21;69;24
686;46;22;70;4
687;46;23;73;16
688;46;24;75;28
689;46;25;77;28
690;46;26;79;28
691;47;12;46;40
692;47;13;48;32
693;47;14;50;32
694;47;15;51;6
695;47;16;58;24
696;47;17;60;20
697;47;18;63;32
698;47;19;64;8
699;47;20;67;24
700;47;21;69;24
701;47;22;71;16
702;47;23;73;16
703;47;24;75;28
704;47;25;77;28
705;47;26;79;28
706;48;12;46;40
707;48;13;48;32
708;48;14;50;32
709;48;15;54;24
710;48;16;58;24
711;48;17;60;20
712;48;18;63;32
713;48;19;65;32
714;48;20;67;24
715;48;21;69;24
716;48;22;71;16
717;48;23;73;16
718;48;24;75;28
719;48;25;77;28
720;48;26;79;28
721;49;12;46;40
722;49;13;48;32
723;49;14;50;32
724;49;15;54;24
725;49;16;58;24
726;49;17;60;20
727;49;18;61;8
728;49;19;65;32
729;49;20;67;24
730;49;21;69;24
731;49;22;71;16
732;49;23;73;16
733;49;24;75;28
734;49;25;77;28
735;49;26;79;28
736;50;12;46;40
737;50;13;48;32
738;50;14;50;32
739;50;15;54;24
740;50;16;58;24
741;50;17;60;20
742;50;18;63;32
743;50;19;65;32
744;50;20;67;24
745;50;21;69;24
746;50;22;71;16
747;50;23;73;16
748;50;24;75;28
749;50;25;77;28
750;50;26;79;28
751;51;12;46;40
752;51;13;48;32
753;51;14;50;32
754;51;15;54;24
755;51;16;58;24
756;51;17;60;20
757;51;18;63;32
758;51;19;65;32
759;51;20;67;24
760;51;21;69;24
761;51;22;70;4
762;51;23;73;16
763;51;24;75;28
764;51;25;77;28
765;51;26;79;28
766;52;12;46;40
767;52;13;48;32
768;52;14;49;8
769;52;15;54;24
770;52;16;58;24
771;52;17;60;20
772;52;18;63;32
773;52;19;65;32
774;52;20;67;24
775;52;21;69;24
776;52;22;71;16
777;52;23;73;16
778;52;24;75;28
779;52;25;77;28
780;52;26;79;28
781;53;12;46;40
782;53;13;48;32
783;53;14;50;32
784;53;15;54;24
785;53;16;58;24
786;53;17;60;20
787;53;18;63;32
788;53;19;65;32
789;53;20;67;24
790;53;21;69;24
791;53;22;71;16
792;53;23;73;16
793;53;24;75;28
794;53;25;77;28
795;53;26;79;28
796;54;12;46;40
797;54;13;48;32
798;54;14;50;32
799;54;15;54;24
800;54;16;58;24
801;54;17;60;20
802;54;18;63;32
803;54;19;65;32
804;54;20;67;24
805;54;21;69;24
806;54;22;71;16
807;54;23;73;16
808;54;24;75;28
809;54;25;77;28
810;54;26;79;28
811;55;12;46;40
812;55;13;48;32
813;55;14;50;32
814;55;15;54;24
815;55;16;58;24
816;55;17;60;20
817;55;18;63;32
818;55;19;65;32
819;55;20;67;24
820;55;21;69;24
821;55;22;71;16
822;55;23;73;16
823;55;24;75;28
824;55;25;77;28
825;55;26;79;28
826;56;12;46;40
827;56;13;48;32
828;56;14;50;32
829;56;15;54;24
830;56;16;58;24
831;56;17;60;20
832;56;18;63;32
833;56;19;65;32
834;56;20;67;24
835;56;21;69;24
836;56;22;71;16
837;56;23;73;16
838;56;24;75;28
839;56;25;77;28
840;56;26;79;28
841;57;12;46;40
842;57;13;48;32
843;57;14;50;32
844;57;15;54;24
845;57;16;58;24
846;57;17;60;20
847;57;18;63;32
848;57;19;65;32
849;57;20;67;24
850;57;21;69;24
851;57;22;71;16
852;57;23;73;16
853;57;24;75;28
854;57;25;77;28
855;57;26;79;28
856;58;12;46;40
857;58;13;48;32
858;58;14;50;32
859;58;15;54;24
860;58;16;58;24
861;58;17;60;20
862;58;18;63;32
863;58;19;65;32
864;58;20;67;24
865;58;21;69;24
866;58;22;71;16
867;58;23;73;16
868;58;24;75;28
869;58;25;77;28
870;58;26;79;28
871;59;12;46;40
872;59;13;48;32
873;59;14;50;32
874;59;15;54;24
875;59;16;58;24
876;59;17;60;20
877;59;18;63;32
878;59;19;65;32
879;59;20;67;24
880;59;21;69;24
881;59;22;71;16
882;59;23;73;16
883;59;24;75;28
884;59;25;77;28
885;59;26;79;28
886;60;12;46;40
887;60;13;48;32
888;60;14;50;32
889;60;15;54;24
890;60;16;58;24
891;60;17;60;20
892;60;18;63;32
893;60;19;65;32
894;60;20;67;24
895;60;21;69;24
896;60;22;70;4
897;60;23;73;16
898;60;24;75;28
899;60;25;77;28
900;60;26;79;28
901;61;12;46;40
902;61;13;48;32
903;61;14;50;32
904;61;15;54;24
905;61;16;58;24
906;61;17;60;20
907;61;18;63;32
908;61;19;65;32
909;61;20;67;24
910;61;21;69;24
911;61;22;70;4
912;61;23;73;16
913;61;24;75;28
914;61;25;77;28
915;61;26;79;28
916;62;12;46;40
917;62;13;48;32
918;62;14;50;32
919;62;15;54;24
920;62;16;58;24
921;62;17;60;20
922;62;18;63;32
923;62;19;64;8
924;62;20;67;24
925;62;21;69;24
926;62;22;71;16
927;62;23;73;16
928;62;24;75;28
929;62;25;77;28
930;62;26;79;28
931;63;12;46;40
932;63;13;48;32
933;63;14;50;32
934;63;15;54;24
935;63;16;58;24
936;63;17;60;20
937;63;18;63;32
938;63;19;65;32
939;63;20;67;24
940;63;21;69;24
941;63;22;70;4
942;63;23;73;16
943;63;24;75;28
944;63;25;77;28
945;63;26;79;28
946;64;12;45;10
947;64;13;48;32
948;64;14;50;32
949;64;15;54;24
950;64;16;58;24
951;64;17;60;20
952;64;18;63;32
953;64;19;65;32
954;64;20;67;24
955;64;21;69;24
956;64;22;70;4
957;64;23;73;16
958;64;24;75;28
959;64;25;77;28
960;64;26;79;28
961;65;12;45;10
962;65;13;48;32
963;65;14;50;32
964;65;15;54;24
965;65;16;58;24
966;65;17;60;20
967;65;18;63;32
968;65;19;65;32
969;65;20;67;24
970;65;21;69;24
971;65;22;70;4
972;65;23;73;16
973;65;24;75;28
974;65;25;77;28
975;65;26;79;28
976;66;12;46;40
977;66;13;48;32
978;66;14;50;32
979;66;15;54;24
980;66;16;58;24
981;66;17;60;20
982;66;18;61;8
983;66;19;65;32
984;66;20;67;24
985;66;21;69;24
986;66;22;71;16
987;66;23;73;16
988;66;24;75;28
989;66;25;77;28
990;66;26;79;28
991;67;12;46;40
992;67;13;48;32
993;67;14;50;32
994;67;15;54;24
995;67;16;58;24
996;67;17;60;20
997;67;18;63;32
998;67;19;65;32
999;67;20;67;24
1000;67;21;69;24
1001;67;22;71;16
1002;67;23;73;16
1003;67;24;75;28
1004;67;25;77;28
1005;67;26;79;28
1006;68;12;46;40
1007;68;13;48;32
1008;68;14;50;32
1009;68;15;54;24
1010;68;16;58;24
1011;68;17;60;20
1012;68;18;63;32
1013;68;19;65;32
1014;68;20;67;24
1015;68;21;69;24
1016;68;22;71;16
1017;68;23;73;16
1018;68;24;75;28
1019;68;25;77;28
1020;68;26;79;28
1021;69;12;46;40
1022;69;13;48;32
1023;69;14;50;32
1024;69;15;54;24
1025;69;16;58;24
1026;69;17;60;20
1027;69;18;63;32
1028;69;19;65;32
1029;69;20;67;24
1030;69;21;69;24
1031;69;22;71;16
1032;69;23;73;16
1033;69;24;75;28
1034;69;25;77;28
1035;69;26;79;28
1036;70;12;46;40
1037;70;13;48;32
1038;70;14;50;32
1039;70;15;54;24
1040;70;16;58;24
1041;70;17;60;20
1042;70;18;63;32
1043;70;19;65;32
1044;70;20;67;24
1045;70;21;69;24
1046;70;22;71;16
1047;70;23;73;16
1048;70;24;75;28
1049;70;25;77;28
1050;70;26;79;28
1051;71;12;46;40
1052;71;13;48;32
1053;71;14;50;32
1054;71;15;54;24
1055;71;16;58;24
1056;71;17;60;20
1057;71;18;62;16
1058;71;19;65;32
1059;71;20;67;24
1060;71;21;69;24
1061;71;22;70;4
1062;71;23;73;16
1063;71;24;75;28
1064;71;25;77;28
1065;71;26;79;28
1066;72;12;46;40
1067;72;13;48;32
1068;72;14;50;32
1069;72;15;54;24
1070;72;16;58;24
1071;72;17;60;20
1072;72;18;62;16
1073;72;19;64;8
1074;72;20;67;24
1075;72;21;69;24
1076;72;22;70;4
1077;72;23;73;16
1078;72;24;75;28
1079;72;25;77;28
1080;72;26;79;28
1081;73;12;46;40
1082;73;13;48;32
1083;73;14;50;32
1084;73;15;54;24
1085;73;16;58;24
1086;73;17;60;20
1087;73;18;63;32
1088;73;19;65;32
1089;73;20;67;24
1090;73;21;69;24
1091;73;22;70;4
1092;73;23;73;16
1093;73;24;75;28
1094;73;25;77;28
1095;73;26;79;28
1096;74;12;46;40
1097;74;13;48;32
1098;74;14;50;32
1099;74;15;54;24
1100;74;16;58;24
1101;74;17;60;20
1102;74;18;63;32
1103;74;19;65;32
1104;74;20;67;24
1105;74;21;69;24
1106;74;22;70;4
1107;74;23;73;16
1108;74;24;75;28
1109;74;25;77;28
1110;74;26;79;28
1111;75;12;46;40
1112;75;13;48;32
1113;75;14;49;8
1114;75;15;54;24
1115;75;16;58;24
1116;75;17;60;20
1117;75;18;61;8
1118;75;19;65;32
1119;75;20;67;24
1120;75;21;69;24
1121;75;22;71;16
1122;75;23;73;16
1123;75;24;75;28
1124;75;25;77;28
1125;75;26;79;28
1126;76;12;46;40
1127;76;13;48;32
1128;76;14;50;32
1129;76;15;54;24
1130;76;16;58;24
1131;76;17;60;20
1132;76;18;63;32
1133;76;19;65;32
1134;76;20;67;24
1135;76;21;69;24
1136;76;22;71;16
1137;76;23;73;16
1138;76;24;75;28
1139;76;25;77;28
1140;76;26;79;28
1141;77;12;46;40
1142;77;13;48;32
1143;77;14;50;32
1144;77;15;54;24
1145;77;16;58;24
1146;77;17;60;20
1147;77;18;63;32
1148;77;19;64;8
1149;77;20;67;24
1150;77;21;69;24
1151;77;22;71;16
1152;77;23;73;16
1153;77;24;75;28
1154;77;25;77;28
1155;77;26;79;28
1156;78;12;46;40
1157;78;13;48;32
1158;78;14;50;32
1159;78;15;54;24
1160;78;16;58;24
1161;78;17;60;20
1162;78;18;63;32
1163;78;19;64;8
1164;78;20;67;24
1165;78;21;69;24
1166;78;22;71;16
1167;78;23;73;16
1168;78;24;75;28
1169;78;25;77;28
1170;78;26;79;28
1171;79;12;46;40
1172;79;13;48;32
1173;79;14;50;32
1174;79;15;54;24
1175;79;16;58;24
1176;79;17;60;20
1177;79;18;63;32
1178;79;19;65;32
1179;79;20;67;24
1180;79;21;69;24
1181;79;22;70;4
1182;79;23;73;16
1183;79;24;75;28
1184;79;25;77;28
1185;79;26;79;28
1186;80;12;46;40
1187;80;13;48;32
1188;80;14;50;32
1189;80;15;54;24
1190;80;16;58;24
1191;80;17;60;20
1192;80;18;62;16
1193;80;19;65;32
1194;80;20;67;24
1195;80;21;69;24
1196;80;22;70;4
1197;80;23;73;16
1198;80;24;75;28
1199;80;25;77;28
1200;80;26;79;28
1201;81;12;46;40
1202;81;13;48;32
1203;81;14;50;32
1204;81;15;54;24
1205;81;16;58;24
1206;81;17;60;20
1207;81;18;63;32
1208;81;19;65;32
1209;81;20;67;24
1210;81;21;69;24
1211;81;22;70;4
1212;81;23;73;16
1213;81;24;75;28
1214;81;25;77;28
1215;81;26;79;28
1216;82;12;46;40
1217;82;13;48;32
1218;82;14;50;32
1219;82;15;54;24
1220;82;16;58;24
1221;82;17;60;20
1222;82;18;62;16
1223;82;19;65;32
1224;82;20;67;24
1225;82;21;69;24
1226;82;22;70;4
1227;82;23;73;16
1228;82;24;75;28
1229;82;25;77;28
1230;82;26;79;28
1231;83;12;46;40
1232;83;13;48;32
1233;83;14;49;8
1234;83;15;54;24
1235;83;16;58;24
1236;83;17;60;20
1237;83;18;61;8
1238;83;19;65;32
1239;83;20;67;24
1240;83;21;69;24
1241;83;22;71;16
1242;83;23;73;16
1243;83;24;75;28
1244;83;25;77;28
1245;83;26;79;28
1246;84;12;46;40
1247;84;13;48;32
1248;84;14;49;8
1249;84;15;54;24
1250;84;16;58;24
1251;84;17;60;20
1252;84;18;61;8
1253;84;19;65;32
1254;84;20;67;24
1255;84;21;69;24
1256;84;22;70;4
1257;84;23;73;16
1258;84;24;75;28
1259;84;25;77;28
1260;84;26;79;28
1261;85;12;46;40
1262;85;13;48;32
1263;85;14;50;32
1264;85;15;54;24
1265;85;16;58;24
1266;85;17;60;20
1267;85;18;63;32
1268;85;19;65;32
1269;85;20;67;24
1270;85;21;69;24
1271;85;22;70;4
1272;85;23;73;16
1273;85;24;75;28
1274;85;25;77;28
1275;85;26;79;28
1276;86;12;45;10
1277;86;13;48;32
1278;86;14;50;32
1279;86;15;54;24
1280;86;16;58;24
1281;86;17;60;20
1282;86;18;62;16
1283;86;19;65;32
1284;86;20;67;24
1285;86;21;69;24
1286;86;22;70;4
1287;86;23;73;16
1288;86;24;75;28
1289;86;25;77;28
1290;86;26;79;28
1291;87;12;45;10
1292;87;13;48;32
1293;87;14;50;32
1294;87;15;54;24
1295;87;16;58;24
1296;87;17;60;20
1297;87;18;61;8
1298;87;19;64;8
1299;87;20;67;24
1300;87;21;69;24
1301;87;22;70;4
1302;87;23;73;16
1303;87;24;75;28
1304;87;25;77;28
1305;87;26;79;28
1306;88;12;46;40
1307;88;13;48;32
1308;88;14;50;32
1309;88;15;54;24
1310;88;16;58;24
1311;88;17;60;20
1312;88;18;62;16
1313;88;19;65;32
1314;88;20;67;24
1315;88;21;69;24
1316;88;22;70;4
1317;88;23;73;16
1318;88;24;75;28
1319;88;25;77;28
1320;88;26;79;28
1321;89;12;46;40
1322;89;13;48;32
1323;89;14;50;32
1324;89;15;54;24
1325;89;16;58;24
1326;89;17;60;20
1327;89;18;63;32
1328;89;19;64;8
1329;89;20;67;24
1330;89;21;69;24
1331;89;22;71;16
1332;89;23;73;16
1333;89;24;75;28
1334;89;25;77;28
1335;89;26;79;28
1336;90;12;46;40
1337;90;13;48;32
1338;90;14;50;32
1339;90;15;54;24
1340;90;16;58;24
1341;90;17;60;20
1342;90;18;63;32
1343;90;19;65;32
1344;90;20;67;24
1345;90;21;69;24
1346;90;22;71;16
1347;90;23;73;16
1348;90;24;75;28
1349;90;25;77;28
1350;90;26;79;28
1351;91;12;46;40
1352;91;13;48;32
1353;91;14;50;32
1354;91;15;54;24
1355;91;16;58;24
1356;91;17;60;20
1357;91;18;63;32
1358;91;19;65;32
1359;91;20;67;24
